"trans","origin"
"江南清明时节细雨纷纷飘洒，路上羁旅行人个个落魄断魂。","清明时节雨纷纷，路上行人欲断魂。"
"借问当地之人何处买酒浇愁，牧童笑而不答遥指杏花山村。","借问酒家何处有，牧童遥指杏花村。"
"北风席卷大地把白草吹折，胡地天气八月就纷扬落雪。","北风卷地白草折，胡天八月即飞雪。"
"忽然间宛如一夜春风吹来，好像是千树万树梨花盛开。","忽如一夜春风来，千树万树梨花开。"
"雪花散入珠帘打湿了罗幕，狐裘穿不暖锦被也嫌单薄。","散入珠帘湿罗幕，狐裘不暖锦衾薄。"
"将军都护手冻得拉不开弓，铁甲冰冷得让人难以穿着。","将军角弓不得控，都护铁衣冷难着。"
"沙漠结冰百丈纵横有裂纹，万里长空凝聚着惨淡愁云。","瀚海阑干百丈冰，愁云惨淡万里凝。"
"主帅帐中摆酒为归客饯行，胡琴琵琶羌笛合奏来助兴。","中军置酒饮归客，胡琴琵琶与羌笛。"
"傍晚辕门前大雪落个不停，红旗冻僵了风也无法牵引。","纷纷暮雪下辕门，风掣红旗冻不翻。"
"轮台东门外欢送你回京去，你去时大雪盖满了天山路。","轮台东门送君去，去时雪满天山路。"
"山路迂回曲折已看不见你，雪上只留下一行马蹄印迹。 ","山回路转不见君，雪上空留马行处。"
"春天的江潮水势浩荡，与大海连成一片，一轮明月从海上升起，好像与潮水一起涌出来。","春江潮水连海平，海上明月共潮生。"
"月光照耀着春江，随着波浪闪耀千万里，所有地方的春江都有明亮的月光。","滟滟随波千万里，何处春江无月明!"
"江水曲曲折折地绕着花草丛生的原野流淌，月光照射着开遍鲜花的树林好像细密的雪珠在闪烁。","江流宛转绕芳甸，月照花林皆似霰;"
"月色如霜，所以霜飞无从觉察。洲上的白沙和月色融合在一起，看不分明。","空里流霜不觉飞，汀上白沙看不见。"
"江水、天空成一色，没有一点微小灰尘，明亮的天空中只有一轮孤月高悬空中。","江天一色无纤尘，皎皎空中孤月轮。"
"江边上什么人最初看见月亮，江上的月亮哪一年最初照耀着人？","江畔何人初见月？江月何年初照人？"
"人生一代代地无穷无尽，只有江上的月亮一年年地总是相像。","人生代代无穷已，江月年年望相似。"
"不知江上的月亮等待着什么人，只见长江不断地一直运输着流水。","不知江月待何人，但见长江送流水。"
"游子像一片白云缓缓地离去，只剩下思妇站在离别的青枫浦不胜忧愁。","白云一片去悠悠，青枫浦上不胜愁。"
"哪家的游子今晚坐着小船在漂流？什么地方有人在明月照耀的楼上相思？","谁家今夜扁舟子？何处相思明月楼？"
"可怜楼上不停移动的月光，应该照耀着离人的梳妆台。","可怜楼上月徘徊，应照离人妆镜台。"
"月光照进思妇的门帘，卷不走，照在她的捣衣砧上，拂不掉。","玉户帘中卷不去，捣衣砧上拂还来。"
"这时互相望着月亮可是互相听不到声音，我希望随着月光流去照耀着您。","此时相望不相闻，愿逐月华流照君。"
"鸿雁不停地飞翔，而不能飞出无边的月光；月照江面，鱼龙在水中跳跃，激起阵阵波纹。","鸿雁长飞光不度，鱼龙潜跃水成文。"
"昨天夜里梦见花落闲潭，可惜的是春天过了一半自己还不能回家。","昨夜闲潭梦落花，可怜春半不还家。"
"江水带着春光将要流尽，水潭上的月亮又要西落。","江水流春去欲尽，江潭落月复西斜。"
"斜月慢慢下沉，藏在海雾里，碣石与潇湘的离人距离无限遥远。","斜月沉沉藏海雾，碣石潇湘无限路。"
"不知有几人能趁着月光回家，唯有那西落的月亮摇荡着离情，洒满了江边的树林。 ","不知乘月几人归，落月摇情满江树。"
"迷蒙的烟雨，连夜洒遍吴地江天；清晨送走你，孤对楚山离愁无限！","寒雨连江夜入吴，平明送客楚山孤。"
"朋友啊，洛阳亲友若是问起我来；就说我依然冰心玉壶，坚守信念！","洛阳亲友如相问，一片冰心在玉壶。"
"高高的柳树长满了翠绿的新叶，轻柔的柳枝垂下来，就像万条轻轻飘动的绿色丝带。","碧玉妆成一树高，万条垂下绿丝绦。"
"这细细的嫩叶是谁的巧手裁剪出来的呢？原来是那二月里温暖的春风，它就像一把灵巧的剪刀。","不知细叶谁裁出，二月春风似剪刀。"
"绕过孤山寺以北漫步贾公亭以西，湖水初涨与岸平齐白云垂得很低。","孤山寺北贾亭西，水面初平云脚低。"
"几只早出的黄莺争栖向阳的暖树，谁家新飞来的燕子忙着筑巢衔泥。","几处早莺争暖树，谁家新燕啄春泥。"
"野花竞相开放就要让人眼花缭乱，春草还没有长高才刚刚没过马蹄。","乱花渐欲迷人眼，浅草才能没马蹄。"
"最喜爱湖东的美景令人流连忘返，杨柳成排绿荫中穿过一条白沙堤。","最爱湖东行不足，绿杨阴里白沙堤。"
"透过装饰着云母的屏风，烛影渐渐暗淡下去。银河也在静静地消失，晨星沉没在黎明的曙光里。","云母屏风烛影深，长河渐落晓星沉。"
"月宫的嫦娥恐怕后悔偷了后羿的长生不老药，现在只有那青天碧海夜夜陪伴着她一颗孤独的心。","嫦娥应悔偷灵药，碧海青天夜夜心。"
"老朋友向我频频挥手，告别了黄鹤楼，在这柳絮如烟、繁花似锦的阳春三月去扬州远游。","故人西辞黄鹤楼，烟花三月下扬州。"
"友人的孤船帆影渐渐地远去，消失在碧空的尽头，只看见一线长江，向邈远的天际奔流。","孤帆远影碧空尽，唯见长江天际流。"
"自古以来每逢秋天都会感到悲凉寂寥，我却认为秋天要胜过春天。","自古逢秋悲寂寥，我言秋日胜春朝。"
"万里晴空，一只鹤凌云而飞起，就引发我的诗兴到了蓝天上了。 ","晴空一鹤排云上，便引诗情到碧霄。"
"见面的机会真是难得，分别时更是难舍难分，况且又兼东风将收的暮春天气，百花残谢，更加使人伤感。","相见时难别亦难，东风无力百花残。"
"春蚕结茧到死时丝才吐完，蜡烛要燃尽成灰时像泪一样的蜡油才能滴干。","春蚕到死丝方尽，蜡炬成灰泪始干。"
"女子早晨妆扮照镜，只担忧丰盛如云的鬓发改变颜色，青春的容颜消失。男子晚上长吟不寐，必然感到冷月侵人。","晓镜但愁云鬓改，夜吟应觉月光寒。"
"对方的住处就在不远的蓬莱山，却无路可通，可望而不可及。希望有青鸟一样的使者殷勤地为我去探看情人。","蓬山此去无多路，青鸟殷勤为探看。"
"两只黄鹂在翠绿的柳树间婉转地歌唱，一队整齐的白鹭直冲向蔚蓝的天空。","两个黄鹂鸣翠柳，一行白鹭上青天。"
"我坐在窗前，可以望见西岭上堆积着终年不化的积雪，门前停泊着自万里外的东吴远行而来的船只。","窗含西岭千秋雪，门泊东吴万里船。"
